alpha,beta,gamma,discriminant,is_hyperbolic,is_positive_on_grid
4.252935247864788465e-02,2.863661346126394891e-02,2.930020907792744156e-01,-4.902470115240034620e-02,0.000000000000000000e+00,1.000000000000000000e+00
7.960156034122247912e-03,2.608633300891188833e-02,3.345497192400113118e-01,-9.971775095437273098e-03,0.000000000000000000e+00,1.000000000000000000e+00
1.711979300249362457e-02,4.398528137818891182e-02,4.024907704373137940e-01,-2.562752972328551787e-02,0.000000000000000000e+00,1.000000000000000000e+00
1.514044958842683530e-02,-9.951939299270909367e-02,3.878996506063077110e-01,-1.358779083985546358e-02,0.000000000000000000e+00,1.000000000000000000e+00
1.467482455967666910e-02,4.600886217657906840e-02,4.457408433787618529e-01,-2.404785930387913495e-02,0.000000000000000000e+00,1.000000000000000000e+00
4.966519786606754527e-02,1.528078055531821855e-01,4.487030808073711463e-01,-6.578948372766958708e-02,0.000000000000000000e+00,1.000000000000000000e+00
5.578397489148809868e-02,8.868586847694420738e-02,3.867804926734215165e-01,-7.843942989973631819e-02,0.000000000000000000e+00,1.000000000000000000e+00
2.021159187884084482e-02,-1.719969907165277145e-01,2.795439177421641386e-01,6.982854505073809309e-03,1.000000000000000000e+00,0.000000000000000000e+00
5.008650088761511243e-02,1.499802938827165533e-01,2.043794557129023914e-01,-1.845251860675229533e-02,0.000000000000000000e+00,1.000000000000000000e+00
5.394409812111522484e-02,3.305133146931091281e-02,2.733595878379430077e-01,-5.789215520281619509e-02,0.000000000000000000e+00,1.000000000000000000e+00
3.321337503762425425e-02,1.242206177446555926e-02,3.927848176212238585e-01,-5.202853020822557212e-02,0.000000000000000000e+00,1.000000000000000000e+00
1.847305305878380738e-02,3.249990138682917751e-02,2.677171797418387289e-01,-1.872597107432217092e-02,0.000000000000000000e+00,1.000000000000000000e+00
5.033328778535762354e-02,-1.780166369299783780e-01,1.780720292885207279e-01,-4.161879762947240380e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.675696298563025127e-02,-1.337961963239188423e-01,2.263597602743409043e-01,2.729013653335561618e-03,1.000000000000000000e+00,0.000000000000000000e+00
4.578068787290903024e-02,-1.109157506922736486e-01,3.009440413095350042e-01,-4.280739713798405177e-02,0.000000000000000000e+00,1.000000000000000000e+00
3.964671125243244415e-02,4.604985422622559499e-02,1.621856459504883163e-01,-2.359992082289636903e-02,0.000000000000000000e+00,1.000000000000000000e+00
5.600739921888418793e-02,2.004444109505981730e-01,3.897208300662289848e-01,-4.713103857240455441e-02,0.000000000000000000e+00,1.000000000000000000e+00
1.775495037335303450e-02,6.134813088290891336e-02,3.368692553107581755e-01,-2.016079447857709733e-02,0.000000000000000000e+00,1.000000000000000000e+00
4.895188207410455794e-02,1.949919552707884973e-02,2.338294379367872045e-01,-4.540534565913978415e-02,0.000000000000000000e+00,1.000000000000000000e+00
3.349907702689928352e-02,-1.690858642043663596e-01,2.695796982370302075e-01,-7.532654830784739353e-03,0.000000000000000000e+00,1.000000000000000000e+00
1.773555936493871263e-02,1.162988742816182253e-01,1.241069226482389848e-01,4.721005382260843111e-03,1.000000000000000000e+00,0.000000000000000000e+00
1.412471962824094970e-02,1.630232260432987190e-01,1.839071547792425210e-01,1.618602423402721799e-02,1.000000000000000000e+00,0.000000000000000000e+00
3.237839326737865925e-02,-1.057523664746187753e-01,1.555478278499579092e-01,-8.961991953067733122e-03,0.000000000000000000e+00,1.000000000000000000e+00
3.704985523384259072e-02,7.161733228510913651e-02,3.441563700673822002e-01,-4.587473247156934053e-02,0.000000000000000000e+00,1.000000000000000000e+00
1.513858930856638516e-02,7.414965502767995043e-02,3.787994717062678207e-01,-1.743978718912846115e-02,0.000000000000000000e+00,1.000000000000000000e+00
