discriminant,regime_code,x,sigma,diffusion,U_geom,U_fin,U_eff
-1.600000000000000033e-02,-1.000000000000000000e+00,-3.000000000000000000e+00,3.800000000000000044e-01,7.220000000000000029e-02,-7.599999999999999985e-03,6.749598337950139804e-02,5.989598337950139545e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.992500000000000160e+00,3.791011250000000388e-01,7.185883148813282384e-02,-7.582022500000000498e-03,6.744966094078813645e-02,5.986763844078814290e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.984999999999999876e+00,3.782044999999999990e-01,7.151932191012499995e-02,-7.564089999999999876e-03,6.740383861485804706e-02,5.983974861485804458e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.977500000000000036e+00,3.773101249999999962e-01,7.118146521375781632e-02,-7.546202499999998987e-03,6.735851475700015134e-02,5.981231225700014975e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.970000000000000195e+00,3.764180000000000303e-01,7.084525536200000917e-02,-7.528359999999999566e-03,6.731368771993541389e-02,5.978532771993541606e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.962499999999999911e+00,3.755281249999999904e-01,7.051068633300780486e-02,-7.510562500000000745e-03,6.726935585372731397e-02,5.975879335372731582e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.955000000000000071e+00,3.746405000000000429e-01,7.017775212012501707e-02,-7.492809999999999922e-03,6.722551750569165374e-02,5.973270750569165122e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.947499999999999787e+00,3.737551249999999659e-01,6.984644673188279695e-02,-7.475102499999999699e-03,6.718217102030546450e-02,5.970706852030546741e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.939999999999999947e+00,3.728719999999999812e-01,6.951676419199999402e-02,-7.457440000000000943e-03,6.713931473911508019e-02,5.968187473911507751e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.932500000000000107e+00,3.719911249999999781e-01,6.918869853938280912e-02,-7.439822499999998451e-03,6.709694700064350315e-02,5.965712450064350469e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.924999999999999822e+00,3.711124999999999563e-01,6.886224382812498879e-02,-7.422250000000000028e-03,6.705506614029668744e-02,5.963281614029669608e-02
